,rx,ry,rz,vx,vy,vz,is_correct
0,0.0067,-0.0001,-0.18333333333333332,0.0,0.0,1.0,True
1,-0.0019,0.0059,-0.18333333333333332,0.0,0.0,1.0,True
2,0.0019,-0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
3,0.007500000000000001,0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
4,0.004900000000000001,-0.005300000000000002,-0.18333333333333332,0.0,0.0,1.0,True
5,-0.0029,-0.0061,-0.18333333333333332,0.0,0.0,1.0,True
6,0.0007000000000000001,0.009899999999999999,-0.18333333333333332,0.0,0.0,1.0,True
7,0.004300000000000001,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
8,-0.0005,-0.0091,-0.18333333333333332,0.0,0.0,1.0,True
9,0.0017000000000000001,0.0051,-0.18333333333333332,0.0,0.0,1.0,True
10,-0.0065000000000000014,0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
11,-0.0005,-0.0029,-0.18333333333333332,0.0,0.0,1.0,True
12,0.0009000000000000001,-0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
13,-0.0061,-0.0059,-0.18333333333333332,0.0,0.0,1.0,True
14,-0.0007000000000000001,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
15,-0.007300000000000001,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
16,-0.0045000000000000005,-0.0041,-0.18333333333333332,0.0,0.0,1.0,True
17,-0.0067,0.0009000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
18,-0.0070999999999999995,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
19,0.007700000000000001,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
20,0.0032999999999999995,-0.0031,-0.18333333333333332,0.0,0.0,1.0,True
21,-0.0041,0.0047,-0.18333333333333332,0.0,0.0,1.0,True
22,0.007500000000000001,-0.0011,-0.18333333333333332,0.0,0.0,1.0,True
23,0.0047,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
24,0.0026999999999999997,-0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
25,-0.00030000000000000003,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
26,0.0081,-0.0031,-0.18333333333333332,0.0,0.0,1.0,True
27,-0.0065000000000000014,0.0015000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
28,-0.0021,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
29,0.0045000000000000005,-0.0085,-0.18333333333333332,0.0,0.0,1.0,True
30,-0.0059,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
31,-0.0023,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
32,0.005300000000000002,-0.0083,-0.18333333333333332,0.0,0.0,1.0,True
33,0.0015000000000000002,0.0037,-0.18333333333333332,0.0,0.0,1.0,True
34,0.0025,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
35,0.0083,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
36,-0.0057,0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
37,-0.0089,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
38,0.005300000000000002,0.0079,-0.18333333333333332,0.0,0.0,1.0,True
39,0.007700000000000001,0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
40,-0.0023,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
41,-0.0007000000000000001,0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
42,0.0083,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
43,-0.007300000000000001,0.0023,-0.18333333333333332,0.0,0.0,1.0,True
44,0.0093,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
45,-0.0037,0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
46,-0.0021,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
47,-0.0085,0.0009000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
48,0.0001,-0.0085,-0.18333333333333332,0.0,0.0,1.0,True
49,-0.00030000000000000003,-0.0091,-0.18333333333333332,0.0,0.0,1.0,True
50,0.004300000000000001,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
51,0.006300000000000001,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
52,-0.00030000000000000003,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
53,-0.0025,0.0091,-0.18333333333333332,0.0,0.0,1.0,True
54,-0.005300000000000002,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
55,0.0037,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
56,0.0021,0.0087,-0.18333333333333332,0.0,0.0,1.0,True
57,-0.006900000000000001,-0.0047,-0.18333333333333332,0.0,0.0,1.0,True
58,0.006900000000000001,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
59,0.0087,0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
60,0.0025,0.0009000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
61,0.0001,0.0059,-0.18333333333333332,0.0,0.0,1.0,True
62,0.0057,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
63,0.006900000000000001,-0.0011,-0.18333333333333332,0.0,0.0,1.0,True
64,0.0051,-0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
65,0.0085,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
66,0.0021,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
67,-0.0032999999999999995,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
68,-0.0045000000000000005,0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
69,0.0026999999999999997,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
70,-0.0065000000000000014,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
71,-0.0026999999999999997,0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
72,-0.004300000000000001,-0.0061,-0.18333333333333332,0.0,0.0,1.0,True
73,0.0019,0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
74,0.0091,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
75,-0.0032999999999999995,0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
76,-0.009899999999999999,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
77,-0.0005,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
78,0.0007000000000000001,-0.0005,-0.18333333333333332,0.0,0.0,1.0,True
79,-0.0025,0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
80,-0.0045000000000000005,-0.0035,-0.18333333333333332,0.0,0.0,1.0,True
81,0.00030000000000000003,0.0017000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
82,0.0037,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
83,-0.00030000000000000003,0.0029,-0.18333333333333332,0.0,0.0,1.0,True
84,0.0015000000000000002,0.0051,-0.18333333333333332,0.0,0.0,1.0,True
85,0.0026999999999999997,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
86,0.0025,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
87,0.0031,0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
88,-0.0045000000000000005,-0.0035,-0.18333333333333332,0.0,0.0,1.0,True
89,0.0031,-0.0083,-0.18333333333333332,0.0,0.0,1.0,True
90,0.007700000000000001,0.004900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
91,-0.00030000000000000003,-0.0005,-0.18333333333333332,0.0,0.0,1.0,True
92,0.007500000000000001,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
93,0.0031,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
94,-0.0032999999999999995,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
95,0.0029,0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
96,-0.0037,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
97,0.0041,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
98,0.0015000000000000002,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
99,-0.0011,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
100,-0.0005,-0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
101,0.004900000000000001,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
102,-0.0057,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
103,-0.0032999999999999995,-0.0079,-0.18333333333333332,0.0,0.0,1.0,True
104,0.006900000000000001,-0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
105,0.0011,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
106,0.0025,-0.0081,-0.18333333333333332,0.0,0.0,1.0,True
107,-0.0035,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
108,0.0009000000000000001,-0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
109,-0.006300000000000001,-0.0019,-0.18333333333333332,0.0,0.0,1.0,True
110,-0.0035,0.0087,-0.18333333333333332,0.0,0.0,1.0,True
111,-0.0035,0.0091,-0.18333333333333332,0.0,0.0,1.0,True
112,0.006900000000000001,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
113,-0.0081,-0.0011,-0.18333333333333332,0.0,0.0,1.0,True
114,0.0055000000000000005,-0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
115,0.006300000000000001,0.0035,-0.18333333333333332,0.0,0.0,1.0,True
116,-0.0009000000000000001,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
117,0.0007000000000000001,-0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
118,-0.0005,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
119,0.0017000000000000001,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
120,-0.006900000000000001,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
121,0.004900000000000001,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
122,0.0091,0.0025,-0.18333333333333332,0.0,0.0,1.0,True
123,0.0038999999999999994,0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
124,-0.0001,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
125,-0.0081,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
126,-0.007700000000000001,-0.0025,-0.18333333333333332,0.0,0.0,1.0,True
127,-0.0061,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
128,-0.0031,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
129,-0.0047,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
130,-0.0067,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
131,0.0035,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
132,0.0017000000000000001,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
133,-0.0047,-0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
134,-0.0001,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
135,0.005300000000000002,0.0047,-0.18333333333333332,0.0,0.0,1.0,True
136,0.0038999999999999994,0.0041,-0.18333333333333332,0.0,0.0,1.0,True
137,-0.0085,0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
138,-0.0079,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
139,-0.0067,0.0035,-0.18333333333333332,0.0,0.0,1.0,True
140,0.0032999999999999995,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
141,-0.0059,0.00030000000000000003,-0.18333333333333332,0.0,0.0,1.0,True
142,-0.004300000000000001,-0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
143,-0.0067,0.0041,-0.18333333333333332,0.0,0.0,1.0,True
144,-0.0037,0.0025,-0.18333333333333332,0.0,0.0,1.0,True
145,-0.0045000000000000005,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
146,-0.0005,0.0029,-0.18333333333333332,0.0,0.0,1.0,True
147,-0.0047,-0.0029,-0.18333333333333332,0.0,0.0,1.0,True
148,0.0091,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
149,0.0021,-0.0079,-0.18333333333333332,0.0,0.0,1.0,True
150,0.004900000000000001,-0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
151,-0.004300000000000001,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
152,0.0013000000000000002,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
153,-0.0081,-0.0035,-0.18333333333333332,0.0,0.0,1.0,True
154,0.004300000000000001,0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
155,0.0059,0.0025,-0.18333333333333332,0.0,0.0,1.0,True
156,0.0021,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
157,0.0019,0.0011,-0.18333333333333332,0.0,0.0,1.0,True
158,0.0015000000000000002,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
159,-0.0061,-0.0005,-0.18333333333333332,0.0,0.0,1.0,True
160,-0.00030000000000000003,-0.007500000000000001,-0.18333333333333332,0.0,0.0,1.0,True
161,-0.0017000000000000001,0.006900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
162,-0.0081,0.0023,-0.18333333333333332,0.0,0.0,1.0,True
163,0.0009000000000000001,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
164,-0.0055000000000000005,0.0067,-0.18333333333333332,0.0,0.0,1.0,True
165,-0.0070999999999999995,-0.0001,-0.18333333333333332,0.0,0.0,1.0,True
166,0.0059,0.0079,-0.18333333333333332,0.0,0.0,1.0,True
167,0.0047,0.0025,-0.18333333333333332,0.0,0.0,1.0,True
168,-0.004900000000000001,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
169,0.0015000000000000002,0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
170,-0.0001,-0.0083,-0.18333333333333332,0.0,0.0,1.0,True
171,0.0031,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
172,-0.0023,0.0095,-0.18333333333333332,0.0,0.0,1.0,True
173,0.0038999999999999994,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
174,-0.0025,0.0017000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
175,-0.0070999999999999995,0.0067,-0.18333333333333332,0.0,0.0,1.0,True
176,0.0029,0.00030000000000000003,-0.18333333333333332,0.0,0.0,1.0,True
177,0.0038999999999999994,0.0079,-0.18333333333333332,0.0,0.0,1.0,True
178,-0.0059,-0.007500000000000001,-0.18333333333333332,0.0,0.0,1.0,True
179,-0.0026999999999999997,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
180,-0.0070999999999999995,0.0051,-0.18333333333333332,0.0,0.0,1.0,True
181,-0.0087,0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
182,-0.0011,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
183,-0.0079,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
184,0.0009000000000000001,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
185,0.0037,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
186,0.0059,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
187,-0.0035,0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
188,0.0083,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
189,-0.0007000000000000001,-0.0015000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
190,-0.007500000000000001,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
191,-0.0032999999999999995,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
192,-0.0067,-0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
193,0.0061,0.007500000000000001,-0.18333333333333332,0.0,0.0,1.0,True
194,0.0045000000000000005,-0.007500000000000001,-0.18333333333333332,0.0,0.0,1.0,True
195,-0.0083,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
196,0.004900000000000001,0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
197,0.0001,-0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
198,0.0013000000000000002,0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
199,-0.0031,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
200,-0.0013000000000000002,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
201,0.0011,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
202,0.0019,-0.0007000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
203,-0.0009000000000000001,-0.0061,-0.18333333333333332,0.0,0.0,1.0,True
204,-0.0079,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
205,-0.004900000000000001,0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
206,0.0001,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
207,-0.0015000000000000002,0.0095,-0.18333333333333332,0.0,0.0,1.0,True
208,0.0087,0.0029,-0.18333333333333332,0.0,0.0,1.0,True
209,-0.0019,-0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
210,-0.0031,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
211,0.0081,-0.0025,-0.18333333333333332,0.0,0.0,1.0,True
212,0.0026999999999999997,0.00030000000000000003,-0.18333333333333332,0.0,0.0,1.0,True
213,0.0021,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
214,0.0017000000000000001,-0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
215,0.004300000000000001,-0.0025,-0.18333333333333332,0.0,0.0,1.0,True
216,0.0037,0.0059,-0.18333333333333332,0.0,0.0,1.0,True
217,0.0026999999999999997,-0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
218,-0.0011,-0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
219,0.0070999999999999995,0.004900000000000001,-0.18333333333333332,0.0,0.0,1.0,True
220,-0.0001,0.0095,-0.18333333333333332,0.0,0.0,1.0,True
221,0.0067,-0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
222,-0.0083,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
223,-0.0031,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
224,0.0011,0.0091,-0.18333333333333332,0.0,0.0,1.0,True
225,-0.0023,0.0079,-0.18333333333333332,0.0,0.0,1.0,True
226,-0.006300000000000001,-0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
227,0.0025,-0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
228,0.007700000000000001,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
229,0.0089,0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
230,0.0011,-0.007500000000000001,-0.18333333333333332,0.0,0.0,1.0,True
231,0.0011,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
232,0.006300000000000001,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
233,0.0037,-0.0081,-0.18333333333333332,0.0,0.0,1.0,True
234,0.0035,-0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
235,-0.0085,0.0001,-0.18333333333333332,0.0,0.0,1.0,True
236,0.0011,-0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
237,-0.0037,0.0081,-0.18333333333333332,0.0,0.0,1.0,True
238,-0.0019,0.0093,-0.18333333333333332,0.0,0.0,1.0,True
239,-0.0041,-0.0059,-0.18333333333333332,0.0,0.0,1.0,True
240,0.0009000000000000001,-0.0059,-0.18333333333333332,0.0,0.0,1.0,True
241,-0.005300000000000002,-0.0041,-0.18333333333333332,0.0,0.0,1.0,True
242,0.004900000000000001,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
243,0.006300000000000001,-0.0001,-0.18333333333333332,0.0,0.0,1.0,True
244,-0.0019,-0.0079,-0.18333333333333332,0.0,0.0,1.0,True
245,0.0026999999999999997,0.0057,-0.18333333333333332,0.0,0.0,1.0,True
246,0.0055000000000000005,-0.0001,-0.18333333333333332,0.0,0.0,1.0,True
247,0.0059,-0.0029,-0.18333333333333332,0.0,0.0,1.0,True
248,0.0005,-0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
249,-0.004300000000000001,0.00030000000000000003,-0.18333333333333332,0.0,0.0,1.0,True
250,0.0085,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
251,-0.007500000000000001,-0.0061,-0.18333333333333332,0.0,0.0,1.0,True
252,0.0026999999999999997,-0.0032999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
